tuning_id,plan,encoder,model,base_config,config_path,output_dir,lr,weight_decay,dropout,hidden_dim,attention_dim,k_sample,instance_loss_weight,loss_function,selection_objective
virchow2_clam_v01,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v01.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v01,0.0001,1e-05,0.25,,128,8,0.3,bce,valid_auc
virchow2_clam_v02,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v02.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v02,0.0001,1e-05,0.25,,256,8,0.5,focal,valid_auc
virchow2_clam_v03,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v03.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v03,0.0001,1e-05,0.35,,128,16,0.5,focal,valid_auc
virchow2_clam_v04,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v04.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v04,0.0001,0.0001,0.25,,128,8,0.5,weighted_bce,valid_auc
virchow2_clam_v05,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v05.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v05,0.0001,0.0001,0.25,,256,16,0.5,bce,valid_auc
virchow2_clam_v06,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v06.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v06,0.0001,0.0001,0.35,,256,8,0.5,bce,valid_auc
virchow2_clam_v07,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v07.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v07,5e-05,1e-05,0.25,,128,16,0.3,focal,valid_auc
virchow2_clam_v08,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v08.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v08,5e-05,1e-05,0.35,,128,8,0.3,focal,valid_auc
virchow2_clam_v09,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v09.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v09,5e-05,1e-05,0.35,,256,16,0.3,weighted_bce,valid_auc
virchow2_clam_v10,initial6,virchow2,clam,configs/clam_virchow2_advanced_train_binary.yaml,configs/tuning_advanced_binary/virchow2_clam_v10.yaml,/content/drive/MyDrive/PANDA_PROSTATE/outputs/tuning_advanced_binary/clam_virchow2_advanced_binary/v10,5e-05,0.0001,0.25,,256,8,0.3,bce,valid_auc
